hash_replica_retrain_VanillaNerf/log_ngp.txt:1:[INFO] Trainer: ngp | 2023-12-05_06-51-22 | cuda | fp16 | hash_replica_retrain_VanillaNerf
hash_replica_retrain_VanillaNerf/log_ngp.txt:426:[INFO] Trainer: ngp | 2023-12-05_07-30-40 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:436:[INFO] Trainer: ngp | 2023-12-05_07-32-06 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:446:[INFO] Trainer: ngp | 2023-12-05_07-34-15 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:456:[INFO] Trainer: ngp | 2023-12-05_07-43-39 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:466:[INFO] Trainer: ngp | 2023-12-05_07-46-06 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:476:[INFO] Trainer: ngp | 2023-12-05_07-49-01 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:486:[INFO] Trainer: ngp | 2023-12-05_07-50-35 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:496:[INFO] Trainer: ngp | 2023-12-05_07-54-02 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:506:[INFO] Trainer: ngp | 2023-12-05_07-59-01 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:516:[INFO] Trainer: ngp | 2023-12-05_08-08-04 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:526:[INFO] Trainer: ngp | 2023-12-13_08-39-05 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:536:[INFO] Trainer: ngp | 2023-12-14_04-29-55 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:546:[INFO] Trainer: ngp | 2023-12-14_04-32-41 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:556:[INFO] Trainer: ngp | 2023-12-22_06-24-09 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:566:[INFO] Trainer: ngp | 2023-12-22_06-27-32 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:576:[INFO] Trainer: ngp | 2023-12-22_06-30-54 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:586:[INFO] Trainer: ngp | 2023-12-22_06-36-20 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:596:[INFO] Trainer: ngp | 2023-12-22_06-37-49 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:606:[INFO] Trainer: ngp | 2023-12-22_06-39-19 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:616:[INFO] Trainer: ngp | 2023-12-22_06-40-09 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:626:[INFO] Trainer: ngp | 2023-12-22_06-40-50 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:636:[INFO] Trainer: ngp | 2023-12-22_06-43-02 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:646:[INFO] Trainer: ngp | 2023-12-22_06-44-04 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:656:[INFO] Trainer: ngp | 2023-12-22_06-44-47 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:666:[INFO] Trainer: ngp | 2023-12-22_06-46-25 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:676:[INFO] Trainer: ngp | 2023-12-22_06-47-07 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:686:[INFO] Trainer: ngp | 2023-12-22_06-47-54 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_replica_retrain_VanillaNerf/log_ngp.txt:696:[INFO] Trainer: ngp | 2023-12-22_06-48-34 | cuda | fp32 | hash_replica_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:1:[INFO] Trainer: ngp | 2023-12-05_06-47-21 | cuda | fp16 | hash_scannet_retrain_VanillaNerf
hash_scannet_retrain_VanillaNerf/log_ngp.txt:5:[INFO] Trainer: ngp | 2023-12-05_06-48-33 | cuda | fp16 | hash_scannet_retrain_VanillaNerf
hash_scannet_retrain_VanillaNerf/log_ngp.txt:430:[INFO] Trainer: ngp | 2023-12-05_07-09-47 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:440:[INFO] Trainer: ngp | 2023-12-05_07-11-17 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:450:[INFO] Trainer: ngp | 2023-12-05_07-20-12 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:460:[INFO] Trainer: ngp | 2023-12-05_07-26-25 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:470:[INFO] Trainer: ngp | 2023-12-05_07-27-36 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:480:[INFO] Trainer: ngp | 2023-12-05_08-11-20 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:490:[INFO] Trainer: ngp | 2023-12-05_08-24-00 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:500:[INFO] Trainer: ngp | 2023-12-13_08-28-25 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:510:[INFO] Trainer: ngp | 2023-12-15_07-34-14 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:520:[INFO] Trainer: ngp | 2023-12-15_07-42-04 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
hash_scannet_retrain_VanillaNerf/log_ngp.txt:530:[INFO] Trainer: ngp | 2023-12-15_07-57-40 | cuda | fp32 | hash_scannet_retrain_VanillaNerf/
house/log_ngp.txt:1:[INFO] Trainer: ngp | 2023-09-06_11-28-52 | cuda | fp16 | map/house/
house4/log_ngp.txt:1:[INFO] Trainer: ngp | 2023-09-07_04-51-48 | cuda | fp16 | house4/
house4/log_ngp.txt:214:[INFO] Trainer: ngp | 2023-09-07_05-10-06 | cuda | fp16 | house4/
house4/log_ngp.txt:224:[INFO] Trainer: ngp | 2023-09-07_05-16-37 | cuda | fp16 | house4/
house4/log_ngp.txt:234:[INFO] Trainer: ngp | 2023-12-01_07-24-09 | cuda | fp32 | house4/
main_nerf.py:125:        trainer = Trainer('ngp', opt, model, device=device, workspace=opt.workspace, criterion=criterion, fp16=opt.fp16, metrics=metrics, use_checkpoint=opt.ckpt)
main_nerf.py:153:        trainer = Trainer('ngp', opt, model, device=device, workspace=opt.workspace, optimizer=optimizer, criterion=criterion, ema_decay=0.95, fp16=opt.fp16, lr_scheduler=scheduler, scheduler_update_every_step=True, metrics=metrics, use_checkpoint=opt.ckpt, eval_interval=50)
map/stone_nerf/log_ngp.txt:1:[INFO] Trainer: ngp | 2022-08-17_16-02-11 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:114:[INFO] Trainer: ngp | 2022-08-17_16-09-51 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:124:[INFO] Trainer: ngp | 2022-08-17_16-11-55 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:134:[INFO] Trainer: ngp | 2022-08-17_16-15-31 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:144:[INFO] Trainer: ngp | 2022-08-17_16-35-03 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:154:[INFO] Trainer: ngp | 2022-08-17_16-35-32 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:164:[INFO] Trainer: ngp | 2022-08-17_16-35-56 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:174:[INFO] Trainer: ngp | 2022-08-17_16-36-52 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:184:[INFO] Trainer: ngp | 2022-08-17_16-37-52 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:194:[INFO] Trainer: ngp | 2022-08-17_16-38-22 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:204:[INFO] Trainer: ngp | 2022-08-17_16-38-59 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:214:[INFO] Trainer: ngp | 2022-08-17_16-39-42 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:224:[INFO] Trainer: ngp | 2022-08-17_16-41-06 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:234:[INFO] Trainer: ngp | 2022-08-17_16-42-23 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:244:[INFO] Trainer: ngp | 2022-08-17_16-43-06 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:254:[INFO] Trainer: ngp | 2022-08-17_16-46-57 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:264:[INFO] Trainer: ngp | 2022-08-17_16-47-27 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:274:[INFO] Trainer: ngp | 2022-08-17_16-48-11 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:284:[INFO] Trainer: ngp | 2022-08-17_16-48-33 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:294:[INFO] Trainer: ngp | 2022-08-17_16-49-27 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:304:[INFO] Trainer: ngp | 2022-08-17_18-16-17 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:314:[INFO] Trainer: ngp | 2022-08-17_18-17-42 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:324:[INFO] Trainer: ngp | 2022-08-17_18-20-44 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:334:[INFO] Trainer: ngp | 2022-08-17_18-21-24 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:344:[INFO] Trainer: ngp | 2022-08-17_18-25-21 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:354:[INFO] Trainer: ngp | 2022-08-17_18-26-25 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:364:[INFO] Trainer: ngp | 2022-08-17_18-27-23 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:374:[INFO] Trainer: ngp | 2022-08-17_18-29-31 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:384:[INFO] Trainer: ngp | 2022-08-17_18-29-56 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:394:[INFO] Trainer: ngp | 2022-08-17_18-31-17 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:404:[INFO] Trainer: ngp | 2022-08-17_18-31-39 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:414:[INFO] Trainer: ngp | 2022-08-17_18-32-21 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:424:[INFO] Trainer: ngp | 2022-08-17_18-32-51 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:434:[INFO] Trainer: ngp | 2022-08-17_18-33-38 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:444:[INFO] Trainer: ngp | 2022-08-17_18-34-45 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:454:[INFO] Trainer: ngp | 2022-08-17_18-35-21 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:464:[INFO] Trainer: ngp | 2022-08-17_18-36-36 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:474:[INFO] Trainer: ngp | 2022-08-17_18-37-10 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:484:[INFO] Trainer: ngp | 2022-08-17_18-40-29 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:494:[INFO] Trainer: ngp | 2022-08-17_18-41-34 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:504:[INFO] Trainer: ngp | 2022-08-17_18-42-24 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:514:[INFO] Trainer: ngp | 2022-08-17_18-44-21 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:524:[INFO] Trainer: ngp | 2022-08-17_18-54-29 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:534:[INFO] Trainer: ngp | 2022-08-17_18-57-16 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:544:[INFO] Trainer: ngp | 2022-08-17_19-00-26 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:554:[INFO] Trainer: ngp | 2022-08-17_19-01-01 | cuda | fp16 | stone_nerf
map/stone_nerf/log_ngp.txt:564:[INFO] Trainer: ngp | 2022-08-17_19-02-23 | cuda | fp16 | stone_nerf
